name,ring,quadrant,isNew,description  
Docker,adote,ferramentas,TRUE,"Obrigatório para aplicações que seguem nova arquitetura."
Kubernetes,adote,ferramentas,TRUE,"Deve ser utilizado em conjunto com o Docker."
Jenkins,adote,ferramentas,TRUE,"Ferramenta padrão para fazer CI/CD."
Weblogic,evite,ferramentas,TRUE,"Usar Weblogic somente quando realmente não for possível desenvolver a aplicação utilizando Docker e Kubernetes"  
Canary builds,experimente,técnicas,FALSE,"Many projects have external code dependencies ..."  
Apache Kylin,avalie,plataformas,TRUE,"Apache Kylin is an open source analytics solution ..."  
JSF,evite,linguagens & frameworks,FALSE,"JSF tem se mostrado cada vez mais complicado no desenvolvimento front-end. Devemos evitá-lo."  
